Domain,URL,Email,Telefon,Branche,Größe,Priorität,Pain Points,Approach,Zahlungsarten
"agrarflora.de","https://agrarflora.de","info@agrarflora.de","067506911","Garten/Agrar","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"akkushop.de","https://akkushop.de","","071517071010","Elektronik/Energie","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"beamer-discount.de","https://beamer-discount.de","vertrieb@projektor.ag","02217199810","Medien/Technik","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"best-software.de","https://best-software.de","","050639029997","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, stripe, amazon_pay, apple_pay, google_pay"
"blitzhandel24.de","https://blitzhandel24.de","shop@blitzhandel24.de","08001100077","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, stripe, amazon_pay"
"c-ludwig.de","https://c-ludwig.de","info@c-ludwig.de","0049896926310","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"easynotebooks.de","https://easynotebooks.de","","00250255350355","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"eibabo.com","https://eibabo.com","","0836720160919","Sonstiges","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"feel-beauty.de","https://feel-beauty.de","service@feel-beauty.de","","Beauty/Wellness","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"fundis-reitsport.de","https://fundis-reitsport.de","","+4979045599100","Sport/Freizeit","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
"heimkino.de","https://heimkino.de","info@heimkino.de","+4922158832420","Möbel/Wohnen","Groß","Hoch","Sicherheitslücken ohne Updates | Reputationsrisiko bei Datenpanne | Compliance/DSGVO-Haftung","Persönliches Meeting anbieten | Referenzen aus gleicher Branche nennen","paypal, klarna, amazon_pay"
